Soil Moisture (%),Temperature (°C),Humidity (%),Rainfall (mm),Wind Speed (km/h),Solar Radiation (W/m²),Evapotranspiration (mm/day),Soil Type,Crop Type,Growth Stage,Root Depth (cm),Previous Irrigation (days),Irrigation Needed
18.10890416,19.62832322,45.70234102,33.63514971,11.43991757,454.2719682,6.482569541,Loamy,Soybean,Flowering,50.70470611,1,0
38.27500072,28.54752368,44.81872794,39.83406986,16.10864659,526.0920934,1.723863621,Clay,Soybean,Flowering,11.44973967,3,0
30.61978796,36.8236459,84.37527483,12.52339494,15.2032186,869.0926539,8.723945634,Loamy,Rice,Germination,20.53405654,8,0
25.95304695,33.30562216,44.97277199,31.24370498,3.077998094,406.0039475,6.131162391,Loamy,Tomato,Fruiting,26.64334169,3,0
10.46065242,35.1640287,46.31698357,28.58729916,2.984989395,882.6847163,1.572038836,Clay,Maize,Germination,20.22285856,4,0
10.45980821,31.46958417,75.56389575,41.64151884,5.363487355,179.3209879,9.623380575,Clay,Maize,Vegetative,40.73734679,7,0
7.032926426,32.30691411,56.98439055,45.30435302,7.221494527,799.1185935,5.183654633,Loamy,Tomato,Vegetative,96.81605701,0,0
35.3161651,36.22989129,76.60263342,0.607838574,8.169111628,862.7928697,0.728984519,Loamy,Rice,Germination,55.83002845,0,0
26.03902541,21.24170022,33.92196945,33.70099595,13.59394434,263.6358876,6.268329044,Clay,Rice,Fruiting,66.48004215,8,0
29.78254022,27.23562409,59.25427162,2.591789956,1.133608643,487.3118791,2.53198907,Silt,Rice,Flowering,42.07478307,8,0
5.7204573,20.53023605,32.01681601,27.44293325,0.693454085,248.9497972,8.036934519,Clay,Maize,Germination,39.11389855,3,0
38.94684483,39.6917002,33.75919221,14.38163645,7.838211259,735.9437161,8.178220736,Loamy,Soybean,Vegetative,12.08320947,1,0
34.13549243,38.60148349,84.3862472,15.33882998,13.94327384,581.8129913,9.789473559,Loamy,Rice,Fruiting,55.03002901,8,0
12.43186887,15.98567028,38.35472227,17.64792517,3.868706859,671.791012,5.01869531,Loamy,Maize,Vegetative,53.52481061,3,0
11.36387385,32.63937931,61.94524094,31.06462245,12.83008963,276.8382703,4.549568797,Clay,Maize,Fruiting,24.20476536,5,0
11.41915784,38.13120794,54.66573616,16.70249828,5.196562759,290.5712758,7.534756054,Loamy,Soybean,Fruiting,78.78916002,0,0
15.6484785,19.51438363,50.84059958,36.63495253,17.72172218,137.347593,1.324706563,Silt,Tomato,Fruiting,54.34068973,8,0
23.36647511,29.19863076,83.99000074,20.22636928,17.91379889,389.8607817,5.469155138,Sandy,Tomato,Germination,40.50945731,4,0
20.11807565,37.88720744,31.30940381,3.417660015,5.945744086,603.7701952,5.462476001,Silt,Rice,Germination,23.22180181,2,0
15.19301991,15.84864946,69.82738117,39.18799212,4.599875079,872.1414226,0.894731228,Clay,Rice,Germination,59.69447443,3,0
26.41485132,32.43550668,87.80366605,14.28791623,8.226079441,700.2347027,4.179840855,Loamy,Soybean,Fruiting,77.75353235,0,0
9.882285123,22.43372518,63.61009101,21.63834398,4.810631704,491.8566911,8.532847986,Clay,Rice,Fruiting,35.37994174,8,0
15.2250627,38.10990488,86.20934772,34.27219416,13.44767687,957.808103,8.56153622,Sandy,Soybean,Vegetative,29.69149164,7,0
17.82266452,39.27645613,33.13547276,16.62280786,16.52129369,747.3206805,0.992376649,Clay,Maize,Flowering,56.97414677,3,0
20.96244945,38.60666223,55.12759914,2.829282807,13.46184262,937.1486826,0.907208827,Loamy,Rice,Germination,23.98089723,1,0
32.48115865,26.85535542,45.60946746,18.69605235,16.48700894,574.8291759,2.62695477,Sandy,Maize,Fruiting,69.99520479,8,0
11.98858238,36.55106627,73.8492579,47.22242913,7.939843244,333.0138473,8.747660626,Sandy,Wheat,Vegetative,64.48092651,3,0
22.99820534,36.11373496,88.87782543,32.08671986,3.126339414,147.5440177,1.289025851,Loamy,Soybean,Vegetative,17.83738446,8,0
25.73450991,22.97751183,45.39180375,33.57395743,14.75901895,753.4763663,7.199968026,Loamy,Wheat,Vegetative,13.28683414,9,0
6.625764445,35.72288685,69.25047609,31.61410768,7.209490103,209.1726982,1.011656196,Loamy,Rice,Germination,65.82597873,2,0
26.26406982,15.92519087,41.88585797,9.949606948,13.4254165,372.4976154,6.231378537,Clay,Maize,Germination,36.48643966,6,0
10.96834433,29.90674696,63.91981527,20.91669321,5.41287884,579.2238171,3.560672991,Silt,Rice,Flowering,17.78011779,6,0
7.276805754,20.75022093,57.8359492,37.54698992,1.624592696,607.974929,7.88913963,Clay,Wheat,Vegetative,78.34858345,9,0
38.2109938,18.01417214,88.32031978,5.068644878,19.85163591,640.5248773,2.336904488,Clay,Rice,Germination,38.26396027,3,0
38.79712116,16.92383004,66.51163636,13.8926388,3.124030159,249.6297973,6.392018294,Silt,Tomato,Vegetative,51.36395947,1,0
33.29390718,32.4072194,50.97038233,13.81595542,19.76841988,441.7636643,2.356825346,Loamy,Wheat,Fruiting,31.31316347,8,0
15.66148192,23.49687409,36.84574709,21.60094638,19.54559865,655.4748044,7.136602831,Loamy,Rice,Vegetative,66.45853705,3,0
8.41852399,33.11916929,39.07480972,49.01843705,15.87636208,972.8369782,8.736780346,Silt,Maize,Flowering,37.13395738,7,0
